MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1926446	Cd274	CD274 antigen	19		positive regulation of activated CD8-positive, alpha-beta T cell apoptotic process			ISO	Q9NZQ7 	J:164563 	
MGI:102657	Cdc34	cell division cycle 34	10		positive regulation of neuron apoptotic process			ISO	RGD:1305411 	J:155856 	
MGI:106211	Cdc42	cell division cycle 42	4		positive regulation of neuron apoptotic process			ISO	RGD:71043 	J:155856 	
MGI:88357	Cdk4	cyclin-dependent kinase 4	10		positive regulation of apoptotic process			ISO	RGD:621120 	J:155856 	
MGI:101765	Cdk5	cyclin-dependent kinase 5	5		positive regulation of glial cell apoptotic process			ISO	RGD:70514 	J:155856 	
MGI:101765	Cdk5	cyclin-dependent kinase 5	5		positive regulation of neuron apoptotic process			ISO	RGD:70514 	J:155856 	
MGI:101765	Cdk5	cyclin-dependent kinase 5	5		positive regulation of neuron death			ISO	RGD:70514 	J:155856 	
MGI:101764	Cdk5r1	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	11		positive regulation of neuron apoptotic process			ISO	RGD:629472 	J:155856 	
MGI:1925584	Cdk19	cyclin-dependent kinase 19	10		positive regulation of apoptotic process			ISO	RGD:1305435 	J:155856 	
MGI:104556	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	17		positive regulation of cell death			ISO	RGD:69328 	J:155856 	
MGI:104556	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	17		positive regulation of programmed cell death			IMP	MGI:1933751 	J:84930 	
MGI:104565	Cdkn1b	cyclin-dependent kinase inhibitor 1B	6		positive regulation of cell death			ISO	P46527 	J:164563 	
MGI:104738	Cdkn2a	cyclin dependent kinase inhibitor 2A	4		activation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	Q8N726 	J:164563 	
MGI:104738	Cdkn2a	cyclin dependent kinase inhibitor 2A	4		positive regulation of apoptotic process			ISO	RGD:2323 	J:155856 	
MGI:104738	Cdkn2a	cyclin dependent kinase inhibitor 2A	4		positive regulation of apoptotic process			ISO	Q8N726 	J:164563 	
MGI:104738	Cdkn2a	cyclin dependent kinase inhibitor 2A	4		positive regulation of apoptotic process involved in mammary gland involution	regulates a function/process that happens in mammary gland		IMP	MGI:1926877 	J:91428 	
MGI:104738	Cdkn2a	cyclin dependent kinase inhibitor 2A	4		positive regulation of macrophage apoptotic process			IGI	P08226 	J:170042 	
MGI:104738	Cdkn2a	cyclin dependent kinase inhibitor 2A	4		positive regulation of smooth muscle cell apoptotic process			IGI	P08226 	J:170042 	
MGI:1347245	Ceacam1	carcinoembryonic antigen-related cell adhesion molecule 1	7		positive regulation of activation-induced cell death of T cells	happens in T cell,happens in spleen	PR:000044465	IMP	MGI:5609428 	J:190980 	
MGI:1336166	Cflar	CASP8 and FADD-like apoptosis regulator	1		activation of cysteine-type endopeptidase activity involved in apoptotic process			IBA	PTN000047948 	J:265628 	
MGI:2143558	Chchd10	coiled-coil-helix-coiled-coil-helix domain containing 10	10		positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway			ISO	Q8WYQ3 	J:164563 	
MGI:1355321	Chek2	checkpoint kinase 2	5		positive regulation of anoikis			ISO	RGD:621543 	J:155856 	
MGI:1270844	Cideb	cell death-inducing DNA fragmentation factor, alpha subunit-like effector B	14		positive regulation of cell death			ISO	Q9UHD4 	J:164563 	
MGI:1270844	Cideb	cell death-inducing DNA fragmentation factor, alpha subunit-like effector B	14		positive regulation of release of cytochrome c from mitochondria			ISO	Q9UHD4 	J:164563 	
MGI:1923936	Clip3	CAP-GLY domain containing linker protein 3	7		positive regulation of apoptotic process			ISO	Q96DZ5 	J:164563 	
MGI:88423	Clu	clusterin	14		positive regulation of apoptotic process			IDA		J:82574 	
MGI:88423	Clu	clusterin	14		positive regulation of apoptotic process			ISO	P10909 	J:164563 	
MGI:88423	Clu	clusterin	14		positive regulation of intrinsic apoptotic signaling pathway			ISO	P10909 	J:164563 	
MGI:88423	Clu	clusterin	14		positive regulation of neuron death			IMP		J:78357 	
MGI:88423	Clu	clusterin	14		positive regulation of neuron death			ISO	RGD:3907 	J:155856 	
MGI:88423	Clu	clusterin	14		positive regulation of neuron death			ISO	P10909 	J:164563 	
MGI:104615	Cnr1	cannabinoid receptor 1 (brain)	4		positive regulation of apoptotic process			ISO	RGD:2369 	J:155856 	
MGI:104688	Col4a3	collagen, type IV, alpha 3	1		activation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	Q01955 	J:164563 	
MGI:88451	Col18a1	collagen, type XVIII, alpha 1	10		positive regulation of endothelial cell apoptotic process	regulates a function/process that happens in blood vessel endothelial cell		IDA		J:91211 	
MGI:1336168	Cradd	CASP2 and RIPK1 domain containing adaptor with death domain	10		activation of cysteine-type endopeptidase activity involved in apoptotic process			IBA	PTN000385749 	J:265628 	
MGI:1336168	Cradd	CASP2 and RIPK1 domain containing adaptor with death domain	10		activation of cysteine-type endopeptidase activity involved in apoptotic process			IGI	MGI:1889507 	J:101402 	
MGI:1336168	Cradd	CASP2 and RIPK1 domain containing adaptor with death domain	10		positive regulation of apoptotic process			ISO	P78560 	J:164563 	
MGI:1336168	Cradd	CASP2 and RIPK1 domain containing adaptor with death domain	10		positive regulation of apoptotic signaling pathway			IBA	PTN000385749 	J:265628 	
MGI:1336168	Cradd	CASP2 and RIPK1 domain containing adaptor with death domain	10		positive regulation of apoptotic signaling pathway			IGI	MGI:1889507 	J:101402 	
MGI:88494	Creb1	cAMP responsive element binding protein 1	1		positive regulation of apoptotic process			ISO	RGD:620218 	J:155856 	
MGI:88496	Crh	corticotropin releasing hormone	3		positive regulation of cell death			ISO	RGD:620505 	J:155856 	
MGI:88518	Cryba1	crystallin, beta A1	11		positive regulation of anoikis			ISO	RGD:2415 	J:155856 	
MGI:1925021	Csrnp3	cysteine-serine-rich nuclear protein 3	2		positive regulation of apoptotic process			IDA		J:134175 	
MGI:88556	Ctla4	cytotoxic T-lymphocyte-associated protein 4	1		positive regulation of apoptotic process			ISO	P16410 	J:164563 	
MGI:88274	Ctnna1	catenin (cadherin associated protein), alpha 1	18		positive regulation of extrinsic apoptotic signaling pathway in absence of ligand	regulates a function/process that happens in epidermis stratum basale		IMP	MGI:2677796 	J:182219 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		positive regulation of apoptotic process			ISO	P35222 	J:164563 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		positive regulation of neuron apoptotic process			ISO	P35222 	J:164563 	
MGI:1913892	Ctnnbl1	catenin, beta like 1	2		positive regulation of apoptotic process			ISO	Q8WYA6 	J:164563 	
MGI:88559	Ctrb1	chymotrypsinogen B1	8		positive regulation of apoptotic process			ISO	RGD:2444 	J:155856 	
MGI:109553	Ctsc	cathepsin C	7		positive regulation of apoptotic signaling pathway			IGI	MGI:107285 	J:165930 	
MGI:88562	Ctsd	cathepsin D	7		positive regulation of apoptotic process			ISO	P07339 	J:164563 	
MGI:88562	Ctsd	cathepsin D	7		positive regulation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	P07339 	J:164563 	
MGI:107285	Ctsh	cathepsin H	9		positive regulation of apoptotic signaling pathway			IGI	MGI:109553 	J:165930 	
MGI:1891190	Ctsz	cathepsin Z	2		positive regulation of neuron apoptotic process			ISO	RGD:708479 	J:155856 	
MGI:105303	Cxcr2	chemokine (C-X-C motif) receptor 2	1		positive regulation of cardiac muscle cell apoptotic process			ISO	RGD:2906 	J:155856 	
MGI:1277207	Cxcr3	chemokine (C-X-C motif) receptor 3	X		positive regulation of execution phase of apoptosis			ISO	P49682 	J:164563 	
MGI:88578	Cycs	cytochrome c, somatic	6		activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c			IMP		J:86711 	
MGI:88578	Cycs	cytochrome c, somatic	6		activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c			IMP	MGI:2154447 	J:62276 	
MGI:88578	Cycs	cytochrome c, somatic	6		activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c	regulates a function/process that happens in fibroblast		IMP	MGI:3581449 	J:98949 	
MGI:88578	Cycs	cytochrome c, somatic	6		positive regulation of cysteine-type endopeptidase activity involved in apoptotic process			IBA	PTN000943712 	J:265628 	
MGI:88579	Cyct	cytochrome c, testis	2		positive regulation of cysteine-type endopeptidase activity involved in apoptotic process			IBA	PTN000943712 	J:265628 	
MGI:88579	Cyct	cytochrome c, testis	2		positive regulation of intrinsic apoptotic signaling pathway			IDA		J:111056 	
MGI:1921506	Cyld	CYLD lysine 63 deubiquitinase	8		positive regulation of extrinsic apoptotic signaling pathway			IBA	PTN002625528 	J:265628 	
MGI:1921506	Cyld	CYLD lysine 63 deubiquitinase	8		positive regulation of extrinsic apoptotic signaling pathway			ISO	Q9NQC7 	J:164563 	
MGI:88590	Cyp1b1	cytochrome P450, family 1, subfamily b, polypeptide 1	17		positive regulation of apoptotic process			IMP		J:197371 	
MGI:1917336	Cysltr2	cysteinyl leukotriene receptor 2	14		positive regulation of cell death			ISO	RGD:619797 	J:155856 	
MGI:1916851	Dab2ip	disabled 2 interacting protein	2		positive regulation of apoptotic process			IMP		J:154743 	
MGI:1916851	Dab2ip	disabled 2 interacting protein	2		positive regulation of apoptotic process			ISO	Q5VWQ8 	J:164563 	
MGI:1916851	Dab2ip	disabled 2 interacting protein	2		positive regulation of apoptotic signaling pathway			ISO	Q5VWQ8 	J:164563 	
MGI:1918190	Dap	death-associated protein	15		activation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	P51397 	J:164563 	
MGI:1916885	Dapk1	death associated protein kinase 1	13		positive regulation of apoptotic process			IBA	PTN000678761 	J:265628 	
MGI:1916885	Dapk1	death associated protein kinase 1	13		positive regulation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	P53355 	J:164563 	
MGI:1341297	Dapk2	death-associated protein kinase 2	9		positive regulation of apoptotic process			IBA	PTN000678761 	J:265628 	
MGI:1203520	Dapk3	death-associated protein kinase 3	10		positive regulation of apoptotic process			IBA	PTN000678761 	J:265628 	
MGI:1203520	Dapk3	death-associated protein kinase 3	10		positive regulation of apoptotic process			ISO	RGD:621766 	J:155856 	
MGI:1203520	Dapk3	death-associated protein kinase 3	10		positive regulation of apoptotic process			ISO	O43293 	J:164563 	
MGI:1203520	Dapk3	death-associated protein kinase 3	10		positive regulation of extrinsic apoptotic signaling pathway in absence of ligand			ISO	RGD:621766 	J:155856 	
MGI:1197015	Daxx	Fas death domain-associated protein	17		positive regulation of apoptotic process			ISO	RGD:621227 	J:155856 	
MGI:1197015	Daxx	Fas death domain-associated protein	17		positive regulation of apoptotic signaling pathway			IDA		J:169813 	
MGI:1197015	Daxx	Fas death domain-associated protein	17		positive regulation of apoptotic signaling pathway			IGI	MGI:104662 	J:169813 	
MGI:1197015	Daxx	Fas death domain-associated protein	17		positive regulation of neuron death			ISO	Q9UER7 	J:164563 	
MGI:2679003	Dcun1d3	DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae)	7		positive regulation of apoptotic process			ISO	Q8IWE4 	J:164563 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		positive regulation of apoptotic process			ISO	RGD:62391 	J:155856 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		positive regulation of intrinsic apoptotic signaling pathway			IBA	PTN002703959 	J:265628 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		positive regulation of intrinsic apoptotic signaling pathway			ISO	P35638 	J:164563 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		positive regulation of intrinsic apoptotic signaling pathway			ISO	RGD:62391 	J:155856 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		positive regulation of neuron apoptotic process			IMP		J:167725 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		positive regulation of neuron apoptotic process			ISO	RGD:62391 	J:155856 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		positive regulation of neuron death	happens in substantia nigra,happens in dopaminergic neuron,is a part of cellular response to stress		IMP		J:219626 	
MGI:1921997	Ddit4	DNA-damage-inducible transcript 4	10		positive regulation of neuron death			ISO	RGD:621731 	J:155856 	
MGI:103064	Ddx3x	DEAD box helicase 3, X-linked	X		positive regulation of apoptotic process			ISO	O00571 	J:164563 	
MGI:103064	Ddx3x	DEAD box helicase 3, X-linked	X		positive regulation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	O00571 	J:164563 	
MGI:99526	Ddx19a	DEAD box helicase 19a	8		positive regulation of apoptotic process			ISO	RGD:1303136 	J:155856 	
MGI:1858415	Ddx20	DEAD box helicase 20	3		positive regulation of apoptotic process			IMP		J:114729 	
MGI:1858415	Ddx20	DEAD box helicase 20	3		positive regulation of apoptotic process			ISO	Q9UHI6 	J:73065 	
MGI:1914629	Dedd2	death effector domain-containing DNA binding protein 2	7		positive regulation of extrinsic apoptotic signaling pathway			ISO	Q8WXF8 	J:164563 	
MGI:1097711	Degs1	delta(4)-desaturase, sphingolipid 1	1		positive regulation of apoptotic process			IMP	MGI:3529540 	J:192897 	
MGI:1196227	Dffa	DNA fragmentation factor, alpha subunit	4		positive regulation of apoptotic process			IMP	MGI:2179456 	J:88144 	
MGI:1928378	Dhodh	dihydroorotate dehydrogenase	8		positive regulation of apoptotic process			ISO	RGD:68352 	J:155856 	
MGI:1913843	Diablo	diablo, IAP-binding mitochondrial protein	5		activation of cysteine-type endopeptidase activity involved in apoptotic process			IDA		J:78039 J:100137 	
MGI:1913843	Diablo	diablo, IAP-binding mitochondrial protein	5		activation of cysteine-type endopeptidase activity involved in apoptotic process			IMP		J:100137 	
MGI:1913843	Diablo	diablo, IAP-binding mitochondrial protein	5		activation of cysteine-type endopeptidase activity involved in apoptotic process			TAS		J:180458 	
MGI:1913843	Diablo	diablo, IAP-binding mitochondrial protein	5		activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c			IBA	PTN001283560 	J:265628 	
MGI:1913843	Diablo	diablo, IAP-binding mitochondrial protein	5		activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c			IDA		J:86711 	
MGI:1913843	Diablo	diablo, IAP-binding mitochondrial protein	5		positive regulation of apoptotic process	uses UniProtKB:P98170		IMP		J:182411 	
MGI:1913843	Diablo	diablo, IAP-binding mitochondrial protein	5		positive regulation of apoptotic process			TAS		J:180458 	
MGI:1354963	Dkkl1	dickkopf-like 1	7		positive regulation of apoptotic process			IMP		J:146994 	
MGI:1354949	Dlc1	deleted in liver cancer 1	8		activation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	Q96QB1 	J:164563 	
MGI:1354949	Dlc1	deleted in liver cancer 1	8		positive regulation of execution phase of apoptosis			ISO	Q96QB1 	J:164563 	
MGI:1270129	Dnaja1	DnaJ heat shock protein family (Hsp40) member A1	4		positive regulation of apoptotic process			ISO	P31689 	J:164563 	
MGI:1933786	Dnaja3	DnaJ heat shock protein family (Hsp40) member A3	16		activation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	Q96EY1 	J:164563 	
MGI:1933786	Dnaja3	DnaJ heat shock protein family (Hsp40) member A3	16		positive regulation of apoptotic process			ISO	Q96EY1 	J:164563 	
MGI:1921256	Dnm1l	dynamin 1-like	16		positive regulation of apoptotic process			ISO	O00429 	J:164563 	
MGI:1921256	Dnm1l	dynamin 1-like	16		positive regulation of intrinsic apoptotic signaling pathway			ISO	O00429 	J:164563 	
MGI:1921256	Dnm1l	dynamin 1-like	16		positive regulation of release of cytochrome c from mitochondria			ISO	O00429 	J:164563 	
MGI:1261827	Dnmt3a	DNA methyltransferase 3A	12		positive regulation of cell death			ISO	RGD:1303336 	J:155856 	
MGI:105120	Dusp1	dual specificity phosphatase 1	17		positive regulation of apoptotic process			ISO	RGD:620897 	J:155856 	
MGI:1914853	Dusp6	dual specificity phosphatase 6	10		positive regulation of apoptotic process			IBA	PTN002562926 	J:265628 	
MGI:1914853	Dusp6	dual specificity phosphatase 6	10		positive regulation of apoptotic process			ISO	Q16828 	J:164563 	
MGI:1914853	Dusp6	dual specificity phosphatase 6	10		positive regulation of cell death			ISO	RGD:70978 	J:155856 	
MGI:2387107	Dusp9	dual specificity phosphatase 9	X		positive regulation of apoptotic process			IBA	PTN002562926 	J:265628 	
MGI:101941	E2f1	E2F transcription factor 1	2		positive regulation of apoptotic process			ISO	Q01094 	J:164563 	
MGI:1096340	E2f3	E2F transcription factor 3	13		positive regulation of vascular associated smooth muscle cell apoptotic process			ISO	O00716 	J:164563 	
MGI:1915795	Ecscr	endothelial cell surface expressed chemotaxis and apoptosis regulator	18		positive regulation of endothelial cell apoptotic process			IBA	PTN002006527 	J:265628 	
MGI:1915795	Ecscr	endothelial cell surface expressed chemotaxis and apoptosis regulator	18		positive regulation of endothelial cell apoptotic process			ISO	Q19T08 	J:148532 	
MGI:95281	Ect2	ect2 oncogene	3		positive regulation of apoptotic process			ISO	Q9H8V3 	J:164563 	
MGI:1096881	Eef1a1	eukaryotic translation elongation factor 1 alpha 1	9		positive regulation of cell death			ISO	RGD:67387 	J:155856 	
MGI:1096317	Eef1a2	eukaryotic translation elongation factor 1 alpha 2	2		positive regulation of apoptotic process			IDA		J:74607 	
MGI:1913393	Eef1e1	eukaryotic translation elongation factor 1 epsilon 1	13		positive regulation of apoptotic process			IMP		J:96923 	
MGI:1913393	Eef1e1	eukaryotic translation elongation factor 1 epsilon 1	13		positive regulation of apoptotic signaling pathway			IMP	MGI:3574590 	J:96923 	
MGI:1919127	Efhc1	EF-hand domain (C-terminal) containing 1	1		positive regulation of apoptotic process			NAS		J:114114 	
MGI:105097	Efnb2	ephrin B2	8		positive regulation of neuron death			ISO	P52799 	J:164563 	
MGI:1932286	Egln1	egl-9 family hypoxia-inducible factor 1	8		positive regulation of apoptotic process			ISO	RGD:631375 	J:155856 	
MGI:1932286	Egln1	egl-9 family hypoxia-inducible factor 1	8		positive regulation of neuron death			ISO	RGD:631375 	J:155856 	
MGI:95295	Egr1	early growth response 1	18		positive regulation of cell death			ISO	RGD:2544 	J:155856 	
MGI:95295	Egr1	early growth response 1	18		positive regulation of neuron apoptotic process			ISO	RGD:2544 	J:155856 	
MGI:95295	Egr1	early growth response 1	18		positive regulation of neuron death			ISO	RGD:2544 	J:155856 	
MGI:108090	Ei24	etoposide induced 2.4 mRNA	9		positive regulation of intrinsic apoptotic signaling pathway			IMP		J:127736 	
MGI:1353449	Eif2ak2	eukaryotic translation initiation factor 2-alpha kinase 2	17		positive regulation of apoptotic process			ISO	RGD:3402 	J:155856 	
MGI:1341830	Eif2ak3	eukaryotic translation initiation factor 2 alpha kinase 3	6		activation of cysteine-type endopeptidase activity involved in apoptotic process			IMP	MGI:2177666 	J:62257 	
MGI:1341830	Eif2ak3	eukaryotic translation initiation factor 2 alpha kinase 3	6		positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway			IGI	MGI:1913418 	J:203180 	
MGI:2446176	Eif2b5	eukaryotic translation initiation factor 2B, subunit 5 epsilon	16		positive regulation of apoptotic process			ISO	RGD:708380 	J:155856 	
MGI:95299	Eif2s1	eukaryotic translation initiation factor 2, subunit 1 alpha	12		positive regulation of neuron death			ISO	RGD:620963 	J:155856 	
MGI:95299	Eif2s1	eukaryotic translation initiation factor 2, subunit 1 alpha	12		positive regulation of neuron death			ISO	P05198 	J:164563 	
MGI:95299	Eif2s1	eukaryotic translation initiation factor 2, subunit 1 alpha	12		positive regulation of type B pancreatic cell apoptotic process			ISO	RGD:620963 	J:155856 	
MGI:2384784	Eif4g1	eukaryotic translation initiation factor 4, gamma 1	16		positive regulation of cell death			ISO	Q04637 	J:164563 	
MGI:106248	Eif5a	eukaryotic translation initiation factor 5A	11		positive regulation of apoptotic process			IDA		J:84933 	
MGI:106248	Eif5a	eukaryotic translation initiation factor 5A	11		positive regulation of cardiac muscle cell apoptotic process			ISO	RGD:1308029 	J:155856 	
MGI:101833	Elk1	ELK1, member of ETS oncogene family	X		positive regulation of neuron death			ISO	RGD:1598663 	J:155856 	
MGI:1261433	Endog	endonuclease G	2		positive regulation of apoptotic DNA fragmentation			ISO	RGD:1310763 	J:155856 	
MGI:1261433	Endog	endonuclease G	2		positive regulation of apoptotic process			IMP	MGI:3034030 MGI:3514265 	J:88144 	
MGI:1261433	Endog	endonuclease G	2		positive regulation of apoptotic process			TAS		J:180458 	
MGI:1261433	Endog	endonuclease G	2		positive regulation of hydrogen peroxide-mediated programmed cell death			ISO	RGD:1310763 	J:155856 	
MGI:1276116	Ep300	E1A binding protein p300	15		positive regulation of cell death			ISO	RGD:620036 	J:155856 	
MGI:95276	Epha7	Eph receptor A7	4		positive regulation of apoptotic process			ISO	RGD:70957 	J:155856 	
MGI:95276	Epha7	Eph receptor A7	4		positive regulation of neuron apoptotic process	happens in cerebral cortex,regulates a function/process that happens in CNS neuron (sensu Vertebrata)		IMP		J:99355 	
MGI:104771	Erbb4	erb-b2 receptor tyrosine kinase 4	1		positive regulation of apoptotic process		PR:Q61527-2	IDA		J:182916 	
MGI:95414	Ercc3	excision repair cross-complementing rodent repair deficiency, complementation group 3	18		positive regulation of apoptotic process			ISO	P19447 	J:164563 	
MGI:109392	Esr2	estrogen receptor 2 (beta)	12		positive regulation of apoptotic process			ISO	RGD:2582 	J:155856 	
MGI:101802	F2r	coagulation factor II (thrombin) receptor	13		activation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	P25116 	J:164563 	
MGI:101802	F2r	coagulation factor II (thrombin) receptor	13		positive regulation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	P25116 	J:164563 	
MGI:88381	F3	coagulation factor III	3		activation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	P13726 	J:164563 	
MGI:109324	Fadd	Fas (TNFRSF6)-associated via death domain	7		positive regulation of apoptotic process			ISO	Q13158 	J:164563 	
MGI:109324	Fadd	Fas (TNFRSF6)-associated via death domain	7		positive regulation of extrinsic apoptotic signaling pathway			IBA	PTN002688310 	J:265628 	
MGI:109324	Fadd	Fas (TNFRSF6)-associated via death domain	7		positive regulation of extrinsic apoptotic signaling pathway			IGI	MGI:1336166 MGI:2154952 	J:196028 	
MGI:109324	Fadd	Fas (TNFRSF6)-associated via death domain	7		positive regulation of extrinsic apoptotic signaling pathway			ISO	Q13158 	J:164563 	
MGI:109419	Faf1	Fas-associated factor 1	4		positive regulation of cell death			ISO	Q9UNN5 	J:164563 	
MGI:109419	Faf1	Fas-associated factor 1	4		positive regulation of extrinsic apoptotic signaling pathway via death domain receptors			IDA		J:30163 	
MGI:1919669	Fam72a	family with sequence similarity 72, member A	1		positive regulation of apoptotic process			ISO	A1KXW8 	J:73065 	
MGI:1917436	Fam162a	family with sequence similarity 162, member A	16		activation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	Q96A26 	J:164563 	
MGI:1917436	Fam162a	family with sequence similarity 162, member A	16		positive regulation of apoptotic process			IDA		J:183968 	
MGI:1917436	Fam162a	family with sequence similarity 162, member A	16		positive regulation of apoptotic process			ISO	RGD:1590883 	J:155856 	
MGI:1917436	Fam162a	family with sequence similarity 162, member A	16		positive regulation of apoptotic process			ISO	Q96A26 	J:164563 	
MGI:1917436	Fam162a	family with sequence similarity 162, member A	16		positive regulation of release of cytochrome c from mitochondria			IBA	PTN002671238 	J:265628 	
MGI:1917436	Fam162a	family with sequence similarity 162, member A	16		positive regulation of release of cytochrome c from mitochondria			IDA		J:183974 	
MGI:1917436	Fam162a	family with sequence similarity 162, member A	16		positive regulation of release of cytochrome c from mitochondria			ISO	Q96A26 	J:164563 	
MGI:1914180	Fank1	fibronectin type 3 and ankyrin repeat domains 1	7		positive regulation of apoptotic process			ISO	Q8TC84 	J:164563 	
MGI:109608	Fap	fibroblast activation protein	2		positive regulation of execution phase of apoptosis			IDA		J:91461 	
MGI:95484	Fas	Fas (TNF receptor superfamily member 6)	19		positive regulation of apoptotic process			ISO	RGD:619831 	J:155856 	
MGI:95484	Fas	Fas (TNF receptor superfamily member 6)	19		positive regulation of apoptotic process			ISO	P25445 	J:164563 	
MGI:95484	Fas	Fas (TNF receptor superfamily member 6)	19		positive regulation of apoptotic signaling pathway			ISO	P25445 	J:164563 	
MGI:95484	Fas	Fas (TNF receptor superfamily member 6)	19		positive regulation of cell death			ISO	RGD:619831 	J:155856 	
MGI:95484	Fas	Fas (TNF receptor superfamily member 6)	19		positive regulation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	RGD:619831 	J:155856 	
MGI:95484	Fas	Fas (TNF receptor superfamily member 6)	19		positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway			IBA	PTN002930185 	J:265628 	
MGI:95484	Fas	Fas (TNF receptor superfamily member 6)	19		positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway			ISO	P25445 	J:164563 	
MGI:95484	Fas	Fas (TNF receptor superfamily member 6)	19		positive regulation of neuron apoptotic process			ISO	RGD:619831 	J:155856 	
MGI:95484	Fas	Fas (TNF receptor superfamily member 6)	19		positive regulation of release of cytochrome c from mitochondria			IC	GO:0031334 	J:172906 	
MGI:99255	Fasl	Fas ligand (TNF superfamily, member 6)	1		activation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	P48023 	J:73065 	
MGI:99255	Fasl	Fas ligand (TNF superfamily, member 6)	1		positive regulation of apoptotic process			ISO	P48023 	J:73065 	
MGI:99255	Fasl	Fas ligand (TNF superfamily, member 6)	1		positive regulation of apoptotic process			ISO	P48023 	J:87682 J:164563 	
MGI:99255	Fasl	Fas ligand (TNF superfamily, member 6)	1		positive regulation of endothelial cell apoptotic process			ISO	P48023 	J:164563 	
MGI:99255	Fasl	Fas ligand (TNF superfamily, member 6)	1		positive regulation of neuron apoptotic process			ISO	RGD:3880 	J:155856 	
MGI:1354699	Fbh1	F-box DNA helicase 1	2		positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage			ISO	Q8NFZ0 	J:73065 	
MGI:1914981	Fbxo32	F-box protein 32	15		positive regulation of cardiac muscle cell apoptotic process			ISO	RGD:620373 	J:155856 	
MGI:1354695	Fbxw7	F-box and WD-40 domain protein 7	3		positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway			IMP		J:204747 	
MGI:1354695	Fbxw7	F-box and WD-40 domain protein 7	3		positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway			ISO	Q969H0 	J:164563 	
MGI:95499	Fcgr2b	Fc receptor, IgG, low affinity IIb	1		positive regulation of neuron death	is a part of cellular response to amyloid-beta,happens in neuron of cerebral cortex,regulates a function/process that happens in neuron of cerebral cortex|happens in hippocampal neuron,is a part of cellular response to amyloid-beta,regulates a function/process that happens in hippocampal neuron		IMP		J:201623 	
MGI:95499	Fcgr2b	Fc receptor, IgG, low affinity IIb	1		positive regulation of neuron death			ISO	RGD:631331 	J:155856 	
MGI:95524	Fgfr3	fibroblast growth factor receptor 3	5		positive regulation of neuron apoptotic process	happens in cerebral cortex,regulates a function/process that happens in CNS neuron (sensu Vertebrata)|happens in cerebral cortex,regulates a function/process that happens in neuroblast (sensu Vertebrata)		IMP	MGI:2135676 	J:96234 	
MGI:1913687	Fis1	fission, mitochondrial 1	5		positive regulation of cysteine-type endopeptidase activity involved in apoptotic process			ISO	Q9Y3D6 	J:164563 	
MGI:1913687	Fis1	fission, mitochondrial 1	5		positive regulation of intrinsic apoptotic signaling pathway			ISO	Q9Y3D6 	J:164563 	
MGI:1913687	Fis1	fission, mitochondrial 1	5		positive regulation of neuron apoptotic process			ISO	RGD:1306668 	J:155856 	
MGI:2442184	Flcn	folliculin	11		positive regulation of intrinsic apoptotic signaling pathway	regulates a function/process that happens in embryonic stem cell		IMP	MGI:4348628 	J:173708 	
